wavelength_1,M565L3,wavelength_2,MINTL5
780,0,288.2833,0.00911268
781,0,288.49248,0.00874829
782,0,288.70167,0.0083839
783,0,288.91087,0.0080195
784,0,289.1201,0.00765511
785,0,289.32934,0.00729072
786,0,289.53859,0.00641119
787,0,289.74787,0.00543187
788,0,289.95716,0.00517792
789,0,290.16647,0.00493651
790,0,290.3758,0.0046951
791,0,290.58514,0.0044537
792,0,290.7945,0.00421229
793,0,291.00388,0.00397088
794,0,291.21327,0.00372947
795,0,291.42268,0.00362682
796,0,291.63211,0.00363139
797,0,291.84156,0.00363595
798,0,292.05102,0.00364051
799,0,292.2605,0.00364507
800,0,292.47,0.00364964
,0,292.67951,
,0,292.88904,
,0,293.09859,
,0,293.30815,
,0,293.51773,
,0,293.72733,
,0,293.93695,
,0,294.14658,
,0,294.35623,
,0,294.56589,
,0,294.77558,
,0,294.98528,
,0,295.195,
,0,295.40473,
,0,295.61448,
,0,295.82425,
,0,296.03403,
,0,296.24384,
,0,296.45366,
,0,296.66349,
,0,296.87334,
,0,297.08321,
,0,297.2931,
,0,297.503,
,0,297.71292,
,0,297.92286,
,0,298.13282,
,0,298.34279,
,0,298.55277,
,0,298.76278,
,0,298.9728,
,0,299.18284,
,0,299.3929,
,0,299.60297,
,0,299.81306,
,0,300.02316,
,0,300.23329,
,0,300.44343,
,0,300.65358,
,0,300.86376,
,0,301.07395,
,0,301.28416,
,0,301.49438,
,0,301.70462,
,0,301.91488,
,0,302.12515,
,0,302.33544,
,0,302.54575,
,0,302.75608,
,0,302.96642,
,0,303.17678,
,0,303.38715,
,0,303.59755,
,0,303.80796,
,0,304.01838,
,0,304.22882,
,0,304.43928,
,0,304.64976,
,0,304.86025,
,0,305.07076,
,0,305.28129,
,0,305.49183,
,0,305.70239,
,0,305.91297,
,0,306.12356,
,0,306.33417,
,0,306.5448,
,0,306.75545,
,0,306.96611,
,0,307.17678,
,0,307.38748,
,0,307.59819,
,0,307.80892,
,0,308.01966,
,0,308.23042,
,0,308.4412,
,0,308.65199,
,0,308.8628,
,0,309.07363,
,0,309.28448,
,0,309.49534,
,0,309.70622,
,0,309.91711,
,0,310.12802,
,0,310.33895,
,0,310.54989,
,0,310.76085,
,0,310.97183,
,0,311.18283,
,0,311.39384,
,0,311.60487,
,0,311.81591,
,0,312.02697,
,0,312.23805,
,0,312.44914,
,0,312.66025,
,0,312.87138,
,0,313.08253,
,0,313.29369,
,0,313.50486,
,0,313.71606,
,0,313.92727,
,0,314.1385,
,0,314.34974,
,0,314.561,
,0,314.77228,
,0,314.98357,
,0,315.19488,
,0,315.40621,
,0,315.61755,
,0,315.82891,
,0,316.04029,
,0,316.25168,
,0,316.46309,
,0,316.67452,
,0,316.88596,
,0,317.09742,
,0,317.3089,
,0,317.52039,
,0,317.7319,
,0,317.94342,
,0,318.15496,
,0,318.36652,
,0,318.5781,
,0,318.78969,
,0,319.0013,
,0,319.21292,
,0,319.42456,
,0,319.63622,
,0,319.84789,
,0,320.05958,
,0,320.27129,
,0,320.48302,
,0,320.69476,
,0,320.90651,
,0,321.11828,
,0,321.33007,
,0,321.54188,
,0,321.7537,
,0,321.96554,
,0,322.1774,
,0,322.38927,
,0,322.60116,
,0,322.81306,
,0,323.02498,
,0,323.23692,
,0,323.44887,
,0,323.66084,
,0,323.87283,
,0,324.08483,
,0,324.29685,
,0,324.50889,
,0,324.72094,
,0,324.93301,
,0,325.14509,
,0,325.35719,
,0,325.56931,
,0,325.78145,
,0,325.9936,
,0,326.20576,
,0,326.41795,
,0,326.63015,
,0,326.84236,
,0,327.0546,
,0,327.26684,
,0,327.47911,
,0,327.69139,
,0,327.90369,
,0,328.116,
,0,328.32833,
,0,328.54068,
,0,328.75304,
,0,328.96542,
,0,329.17782,
,0,329.39023,
,0,329.60266,
,0,329.8151,
,0,330.02756,
,0,330.24004,
,0,330.45253,
,0,330.66504,
,0,330.87757,
,0,331.09011,
,0,331.30267,
,0,331.51525,
,0,331.72784,
,0,331.94045,
,0,332.15307,
,0,332.36571,
,0,332.57837,
,0,332.79104,
,0,333.00373,
,0,333.21643,
,0,333.42915,
,0,333.64189,
,0,333.85464,
,0,334.06741,
,0,334.2802,
,0,334.493,
,0,334.70582,
,0,334.91866,
,0,335.13151,
,0,335.34437,
,0,335.55726,
,0,335.77016,
,0,335.98307,
,0,336.196,
,0,336.40895,
,0,336.62192,
,0,336.8349,
,0,337.04789,
,0,337.26091,
,0,337.47394,
,0,337.68698,
,0,337.90004,
,0,338.11312,
,0,338.32621,
,0,338.53932,
,0,338.75245,
,0,338.96559,
,0,339.17875,
,0,339.39192,
,0,339.60511,
,0,339.81832,
,0,340.03154,
,0,340.24478,
,0,340.45804,
,0,340.67131,
,0,340.88459,
,0,341.0979,
,0,341.31122,
,0,341.52455,
,0,341.7379,
,0,341.95127,
,0,342.16465,
,0,342.37805,
,0,342.59147,
,0,342.8049,
,0,343.01835,
,0,343.23181,
,0,343.44529,
,0,343.65879,
,0,343.8723,
,0,344.08583,
,0,344.29937,
,0,344.51293,
,0,344.72651,
,0,344.9401,
,0,345.15371,
,0,345.36733,
,0,345.58097,
,0,345.79463,
,0,346.0083,
,0,346.22199,
,0,346.43569,
,0,346.64941,
,0,346.86315,
,0,347.0769,
,0,347.29067,
,0,347.50446,
,0,347.71826,
,0,347.93207,
,0,348.1459,
,0,348.35975,
,0,348.57362,
,0,348.78749,
,0,349.00139,
,0,349.2153,
,0,349.42923,
,0,349.64317,
,0,349.85713,
,0,350.07111,
,0,350.2851,
,0,350.49911,
,0,350.71313,
,0,350.92717,
,0,351.14122,
,0,351.3553,
,0,351.56938,
,0,351.78349,
,0,351.9976,
,0,352.21174,
,0,352.42589,
,0,352.64005,
,0,352.85424,
,0,353.06844,
,0,353.28265,
,0,353.49688,
,0,353.71112,
,0,353.92539,
,0,354.13966,
,0,354.35396,
,0,354.56827,
,0,354.78259,
,0,354.99693,
,0,355.21129,
,0,355.42566,
,0,355.64005,
,0,355.85445,
,0,356.06887,
,0,356.28331,
,0,356.49776,
,0,356.71223,
,0,356.92671,
,0,357.14121,
,0,357.35572,
,0,357.57025,
,0,357.7848,
,0,357.99936,
,0,358.21394,
,0,358.42853,
,0,358.64314,
,0,358.85777,
,0,359.07241,
,0,359.28706,
,0,359.50173,
,0,359.71642,
,0,359.93113,
,0,360.14585,
,0,360.36058,
,0,360.57533,
,0,360.7901,
,0,361.00488,
,0,361.21968,
,0,361.43449,
,0,361.64932,
,0,361.86417,
,0,362.07903,
,0,362.29391,
,0,362.5088,
,0,362.72371,
,0,362.93863,
,0,363.15357,
,0,363.36852,
,0,363.58349,
,0,363.79848,
,0,364.01348,
,0,364.2285,
,0,364.44353,
,0,364.65858,
,0,364.87365,
,0,365.08873,
,0,365.30382,
,0,365.51894,
,0,365.73406,
,0,365.94921,
,0,366.16436,
,0,366.37954,
,0,366.59473,
,0,366.80993,
,0,367.02515,
,0,367.24039,
,0,367.45564,
,0,367.67091,
,0,367.88619,
,0,368.10149,
,0,368.31681,
,0,368.53214,
,0,368.74748,
,0,368.96285,
,0,369.17822,
,0,369.39361,
,0,369.60902,
,0,369.82445,
,0,370.03989,
,0,370.25534,
,0,370.47081,
,0,370.6863,
,0,370.9018,
,0,371.11731,
,0,371.33285,
,0,371.54839,
,0,371.76396,
,0,371.97954,
,0,372.19513,
,0,372.41074,
,0,372.62637,
,0,372.84201,
,0,373.05766,
,0,373.27334,
,0,373.48902,
,0,373.70473,
,0,373.92044,
,0,374.13618,
,0,374.35193,
,0,374.56769,
,0,374.78347,
,0,374.99927,
,0,375.21508,
,0,375.43091,
,0,375.64675,
,0,375.86261,
,0,376.07848,
,0,376.29437,
,0,376.51027,
,0,376.72619,
,0,376.94213,
,0,377.15808,
,0,377.37404,
,0,377.59002,
,0,377.80602,
,0,378.02203,
,0,378.23806,
,0,378.4541,
,0,378.67016,
,0,378.88623,
,0,379.10232,
,0,379.31842,
,0,379.53454,
,0,379.75068,
,0,379.96683,
,0,380.183,
,0,380.39918,
,0,380.61537,
,0,380.83158,
,0,381.04781,
,0,381.26405,
,0,381.48031,
,-0.00542,381.69659,
,8.88E-04,381.91287,
,-0.00109,382.12918,
,0.00752,382.3455,
,4.16E-04,382.56183,
,0.00325,382.77818,
,1.89E-04,382.99455,
,0.00617,383.21093,
,-0.0079,383.42732,
,0.00483,383.64373,
,-0.00338,383.86016,
,0.00298,384.0766,
,-3.13E-04,384.29306,
,9.44E-04,384.50953,
,-7.85E-04,384.72602,
,0.00207,384.94252,
,-0.00494,385.15904,
,0.00312,385.37557,
,4.97E-04,385.59212,
,0.00365,385.80868,
,-0.00198,386.02526,
,0.00111,386.24186,
,-0.0062,386.45847,
,-0.00384,386.67509,
,-6.13E-04,386.89173,
,0.00361,387.10839,
,-0.00393,387.32506,
,0.00553,387.54174,
,-0.00251,387.75844,
,0.00269,387.97516,
,0.00144,388.19189,
,0.00343,388.40864,
,6.79E-04,388.6254,
,0.00233,388.84218,
,-0.00541,389.05897,
,0.00503,389.27578,
,-0.00311,389.4926,
,0.00581,389.70944,
,-0.00279,389.92629,
,-0.00103,390.14316,
,-0.00442,390.36004,
,0.0023,390.57694,
,-0.00349,390.79385,
,0.00612,391.01078,
,8.55E-05,391.22773,
,0.00371,391.44469,
,-0.00263,391.66166,
,0.0016,391.87865,
,-8.86E-04,392.09566,
,0.002,392.31268,
,-0.00177,392.52971,
,0.00319,392.74676,
,-0.0027,392.96383,
,0.00384,393.18091,
,-8.92E-04,393.398,
,0.00141,393.61511,
,-0.00145,393.83224,
,0.00771,394.04938,
,-0.00295,394.26653,
,0.00527,394.48371,
,0.00124,394.70089,
,0.00561,394.91809,
,1.87E-04,395.13531,
,0.00422,395.35254,
,-0.00202,395.56979,
,0.00355,395.78705,
,-0.00112,396.00433,
,0.00389,396.22162,
,-0.00363,396.43892,
,0.00381,396.65625,
,3.02E-05,396.87358,
,0.00292,397.09094,
,-0.0013,397.3083,
,0.00609,397.52568,
,1.39E-04,397.74308,
,0.0078,397.96049,
,-0.00196,398.17792,
,0.00529,398.39536,
,1.22E-04,398.61282,
,0.00424,398.83029,
,5.25E-04,399.04778,
,0.00756,399.26528,
,0.00127,399.4828,
,0.00289,399.70033,
,9.32E-04,399.91788,
,0.00616,400.13544,
,-0.00148,400.35302,
,0.00522,400.57061,
,0.00207,400.78822,
,0.00669,401.00584,
,0.0047,401.22348,
,0.00699,401.44113,
,0.00402,401.6588,
,0.0081,401.87648,
,0.00216,402.09418,
,0.00734,402.31189,
,0.00341,402.52962,
,0.00456,402.74736,
,0.00387,402.96512,
,0.00714,403.18289,
,0.00525,403.40067,
,0.00894,403.61848,
,0.00541,403.83629,
,0.00862,404.05412,
,0.00521,404.27197,
,0.00786,404.48983,
,0.00701,404.70771,
,0.01293,404.9256,
,0.00594,405.14351,
,0.0113,405.36143,
,0.00736,405.57936,
,0.01385,405.79731,
,0.00954,406.01528,
,0.01352,406.23326,
,0.01105,406.45126,
,0.0131,406.66927,
,0.01208,406.88729,
,0.01429,407.10533,
,0.01117,407.32339,
,0.01438,407.54146,
,0.01117,407.75954,
,0.01551,407.97764,
,0.01433,408.19576,
,0.01766,408.41389,
,0.02022,408.63203,
,0.01688,408.85019,
,0.0212,409.06836,
,0.01662,409.28655,
,0.02158,409.50476,
,0.01952,409.72297,
,0.02032,409.94121,
,0.01899,410.15946,
,0.02181,410.37772,
,0.02062,410.596,
,0.02216,410.81429,
,0.02106,411.0326,
,0.02598,411.25092,
,0.02612,411.46925,
,0.02588,411.68761,
,0.02399,411.90597,
,0.0288,412.12435,
,0.02672,412.34275,
,0.02807,412.56116,
,0.02886,412.77959,
,0.0317,412.99803,
,0.03098,413.21648,
,0.03461,413.43495,
,0.03054,413.65344,
,0.0338,413.87193,
,0.03345,414.09045,
,0.0366,414.30898,
,0.03335,414.52752,
,0.03641,414.74608,
,0.03694,414.96465,
,0.04133,415.18324,
,0.03672,415.40184,
,0.04178,415.62046,
,0.04042,415.83909,
,0.04246,416.05774,
,0.04221,416.2764,
,0.04594,416.49508,
,0.04158,416.71377,
,0.04755,416.93247,
,0.04606,417.15119,
,0.04645,417.36993,
,0.04495,417.58868,
,0.05064,417.80744,
,0.04634,418.02622,
,0.04946,418.24501,
,0.04686,418.46382,
,0.05014,418.68264,
,0.04807,418.90148,
,0.04962,419.12033,
,0.04785,419.3392,
,0.05284,419.55808,
,0.04934,419.77698,
,0.05138,419.99589,
,0.04771,420.21481,
,0.05027,420.43375,
,0.04692,420.65271,
,0.05154,420.87167,
,0.04634,421.09066,
,0.05158,421.30966,
,0.04595,421.52867,
,0.05165,421.7477,
,0.04967,421.96674,
,0.04839,422.1858,
,0.04853,422.40487,
,0.0502,422.62395,
,0.0447,422.84305,
,0.04897,423.06217,
,0.04732,423.2813,
,0.05027,423.50044,
,0.04618,423.7196,
,0.04613,423.93878,
,0.04471,424.15796,
,0.0459,424.37717,
,0.04417,424.59638,
,0.04429,424.81561,
,0.04224,425.03486,
,0.04689,425.25412,
,0.03901,425.4734,
,0.0427,425.69269,
,0.03965,425.91199,
,0.04252,426.13131,
,0.03587,426.35064,
,0.03968,426.56999,
,0.03827,426.78935,
,0.03723,427.00873,
,0.03704,427.22812,
,0.03529,427.44753,
,0.03075,427.66695,
,0.03643,427.88638,
,0.03034,428.10583,
,0.03442,428.3253,
,0.03075,428.54477,
,0.0287,428.76427,
,0.0269,428.98377,
,0.02941,429.2033,
,0.02503,429.42283,
,0.03084,429.64238,
,0.0232,429.86195,
,0.02528,430.08153,
,0.02262,430.30112,
,0.0254,430.52073,
,0.02274,430.74035,
,0.02495,430.95999,
,0.02214,431.17964,
,0.02415,431.39931,
,0.01979,431.61899,
,0.02329,431.83868,
,0.017,432.05839,
,0.02056,432.27812,
,0.01697,432.49785,
,0.02029,432.71761,
,0.0174,432.93737,
,0.01951,433.15716,
,0.01755,433.37695,
,0.01904,433.59676,
,0.01635,433.81659,
,0.01849,434.03643,
,0.01339,434.25628,
,0.01704,434.47615,
,0.01436,434.69603,
,0.01635,434.91593,
,0.01262,435.13584,
,0.01466,435.35576,
,0.01307,435.5757,
,0.01441,435.79565,
,0.01162,436.01562,
,0.0144,436.23561,
,0.01225,436.4556,
,0.01205,436.67561,
,0.01098,436.89564,
,0.01354,437.11568,
,0.00996,437.33573,
,0.01127,437.5558,
,0.0117,437.77589,
,0.0141,437.99598,
,0.00977,438.21609,
,0.01079,438.43622,
,0.00774,438.65636,
,0.0127,438.87651,
,0.00951,439.09668,
,0.01052,439.31687,
,0.00735,439.53706,
,0.01143,439.75727,
,0.00701,439.9775,
,0.01003,440.19774,
,0.00664,440.41799,
,0.00953,440.63826,
,0.00733,440.85855,
,0.00965,441.07884,
,0.0075,441.29915,
,0.0086,441.51948,
,0.00556,441.73982,
,0.0099,441.96017,
,0.00752,442.18054,
,0.00986,442.40092,
,0.00632,442.62132,
,0.00725,442.84173,
,0.00518,443.06216,
,0.00743,443.2826,
,0.00545,443.50305,
,0.00729,443.72352,
,0.00643,443.944,
,0.00741,444.1645,
,0.00421,444.38501,
,0.00542,444.60553,
,0.00329,444.82607,
,0.00575,445.04662,
,0.00363,445.26719,
,0.00506,445.48777,
,0.00277,445.70837,
,0.00653,445.92898,
,0.0031,446.1496,
,0.00583,446.37024,
,0.00378,446.59089,
,0.0072,446.81156,
,0.00363,447.03224,
,0.00509,447.25293,
,0.00178,447.47364,
,0.00598,447.69436,
,0.00303,447.9151,
,0.00577,448.13585,
,0.00297,448.35662,
,0.00664,448.5774,
,0.00359,448.79819,
,0.0061,449.019,
,0.00249,449.23982,
,0.0042,449.46065,
,0.00222,449.6815,
,0.00405,449.90237,
,0.00277,450.12325,
,0.00363,450.34414,
,0.00292,450.56504,
,0.00437,450.78597,
,0.00183,451.0069,
