wavelength,FF01-460_60,FF01-530_43,FF01-565_24,FF01-623_24,FF03-525_50,FF01-523_610,FF01-618_50,FF01-609_57,FF01-609_54,FF01-558_20
204.9,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
205,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
205.1,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
205.2,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
205.3,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
205.4,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
205.5,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
205.6,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
205.7,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
205.8,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
205.9,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
206,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
206.1,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
206.2,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
206.3,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
206.4,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
206.5,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
206.6,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
206.7,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
206.8,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
206.9,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
207,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
207.1,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
207.2,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
207.3,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
207.4,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
207.5,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
207.6,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
207.7,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
207.8,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
207.9,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
208,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
208.1,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
208.2,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
208.3,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
208.4,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
208.5,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
208.6,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
208.7,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
208.8,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
208.9,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
209,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
209.1,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
209.2,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
209.3,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
209.4,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
209.5,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
209.6,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
209.7,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
209.8,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
209.9,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
210,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
210.1,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
210.2,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
210.3,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
210.4,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
210.5,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
210.6,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
210.7,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
210.8,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
210.9,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
211,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
211.1,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
211.2,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
211.3,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
211.4,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
211.5,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
211.6,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
211.7,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
211.8,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
211.9,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
212,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
212.1,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
212.2,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
212.3,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
212.4,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
212.5,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
212.6,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
212.7,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
212.8,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
212.9,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
213,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
213.1,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
213.2,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
213.3,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
213.4,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
213.5,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
213.6,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
213.7,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
213.8,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
213.9,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
214,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
214.1,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
214.2,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
214.3,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
214.4,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
214.5,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
214.6,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
214.7,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
214.8,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
214.9,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
215,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
215.1,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
215.2,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
215.3,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
215.4,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
215.5,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
215.6,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
215.7,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
215.8,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
215.9,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
216,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
216.1,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
216.2,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
216.3,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
216.4,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
216.5,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
216.6,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
216.7,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
216.8,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
216.9,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
217,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
217.1,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
217.2,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
217.3,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
217.4,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
217.5,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
217.6,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
217.7,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
217.8,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
217.9,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
218,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
218.1,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
218.2,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
218.3,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
218.4,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
218.5,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
218.6,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
218.7,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
218.8,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
218.9,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
219,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
219.1,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
219.2,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
219.3,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
219.4,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
219.5,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
219.6,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
219.7,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
219.8,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
219.9,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
220,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
220.1,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
220.2,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
220.3,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
220.4,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
220.5,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
220.6,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
220.7,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
220.8,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
220.9,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
221,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
221.1,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
221.2,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
221.3,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
221.4,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
221.5,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
221.6,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
221.7,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
221.8,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
221.9,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
222,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
222.1,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
222.2,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
222.3,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
222.4,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
222.5,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
222.6,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
222.7,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
222.8,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
222.9,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
223,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
223.1,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
223.2,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
223.3,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
223.4,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
223.5,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
223.6,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
223.7,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
223.8,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
223.9,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
224,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
224.1,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
224.2,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
224.3,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
224.4,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
224.5,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
224.6,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1E-07,1.00E-07
